n,wr,neto,pf,sharpe,maxdd,t,p,kokku_r,tase,paar,rezhiim
80,42.5,0.1179971608102273,1.205694382468532,0.1729305970237024,-14.12970536206034,0.7761168396306701,0.43768000165683385,9.439772864818185,PAAR,GBPJPY,TRENDING
72,52.77777777777778,0.5045247888544666,2.091101498961144,0.6595486910818443,-5.10381897478408,2.963890839720005,0.003037760256659805,36.3257847975216,PAAR,AUDJPY,TRENDING
72,38.88888888888889,-0.023024450440473816,0.9633218613961961,-0.03547080751782053,-13.802688277314179,-0.1475834145728702,0.8826715450069105,-1.6577604317141148,PAAR,EURCHF,TRENDING
64,32.8125,-0.08662144243711163,0.8637577958367982,-0.12082156377193927,-10.792696446403582,-0.540811032627937,0.5886378376537169,-5.543772315975144,PAAR,EURAUD,TRENDING
89,33.70786516853933,-0.11111539251200242,0.8389754192352972,-0.17357759728150224,-16.72844102142944,-0.7745072638663083,0.43863087430346415,-9.889269933568215,PAAR,GBPAUD,TRENDING
77,37.66233766233766,-0.0309587800951347,0.9521199420408323,-0.04463684207416531,-8.517886279015796,-0.20005877683471582,0.8414346128884265,-2.383826067325372,PAAR,AUDCAD,TRENDING
924,44.047619047619044,0.09953561702890965,1.1806096136122008,0.5081258936085694,-17.905923766576493,2.309741562997461,0.02090246627789938,91.97091013471251,KOIK PAARID,-,RANGING
423,48.93617021276596,0.20140362244727658,1.4021800580135524,1.0778447890690324,-11.110751465144197,3.1683241770545245,0.0015332045555427332,85.19373229519799,KOIK PAARID OOS,-,RANGING
50,38.0,-0.07536782568287696,0.8670925810944118,-0.09894048169829193,-11.16253721491126,-0.44867078247031117,0.6536691645111903,-3.768391284143848,PAAR,EURUSD,RANGING
39,35.8974358974359,-0.13603188972138144,0.7846548036339529,-0.15211478657452795,-10.56066358211507,-0.690078656451056,0.4901447245344457,-5.305243699133876,PAAR,GBPUSD,RANGING
61,44.26229508196721,-0.0016175044265990058,0.9971618860325335,-0.002290203554030426,-10.515633762915744,-0.01004174952827917,0.9919879777391887,-0.09866777002253935,PAAR,USDJPY,RANGING
66,46.96969696969697,0.1328382229820005,1.2700312925863968,0.20418059090400495,-6.524481847352492,0.8619388972083828,0.38872114285594117,8.767322716812032,PAAR,AUDUSD,RANGING
51,39.21568627450981,-0.011429096457328418,0.9803651754630485,-0.01429771053933879,-6.741068149905171,-0.06496165206009337,0.9482045329550659,-0.5828839193237493,PAAR,NZDUSD,RANGING
82,42.68292682926829,0.05478326504573949,1.1013442103926963,0.08742178993529252,-10.444520108548993,0.3893263541346054,0.6970347433824955,4.492227733750639,PAAR,USDCAD,RANGING
72,38.88888888888889,-0.09794588167027735,0.841596176513905,-0.1549983871986554,-13.32503396388216,-0.6676530076483962,0.5043551130190869,-7.0521034802599685,PAAR,USDCHF,RANGING
67,44.776119402985074,0.16081051539954852,1.2796547554585205,0.20640268121318106,-7.082011549622513,0.9361723663888639,0.3491844484577662,10.77430453176975,PAAR,EURGBP,RANGING
67,43.28358208955223,0.12104480220328706,1.2111888377381017,0.1750088717307271,-7.0854336629590176,0.7312622613655843,0.4646189768323219,8.110001747620233,PAAR,EURJPY,RANGING
